bpm,rmssd,cdf(rmssd),root,I(rmssd)
86.922,26.972,0.362,0,6.472
276.923,453.506,1.0,9,118.514
193.598,192.285,1.0,11,21.754
109.645,16.558,0.253,3,6.701
85.819,12.628,0.217,2,6.825
51.757,93.657,0.951,11,8.35
82.723,21.155,0.299,6,6.583
110.602,328.501,1.0,0,61.114
104.096,255.645,1.0,0,37.054
88.805,43.145,0.553,7,6.395
94.478,19.216,0.279,9,6.629
66.605,103.712,0.975,7,9.136
78.704,14.894,0.237,3,6.751
225.0,38.889,0.502,7,6.382
109.383,15.744,0.245,3,6.725
58.457,13.889,0.228,3,6.783
83.398,21.833,0.306,3,6.567
81.818,21.911,0.307,3,6.566
77.304,99.346,0.966,11,8.779
74.355,21.931,0.307,3,6.565
73.878,37.337,0.484,9,6.383
66.055,25.026,0.341,11,6.504
60.242,65.374,0.789,7,6.846
49.155,102.018,0.971,0,8.995
85.347,15.78,0.245,11,6.724
57.658,182.933,1.0,0,19.939
112.735,26.107,0.353,7,6.485
239.114,158.333,1.0,0,15.709
53.731,122.624,0.994,0,10.972
111.455,26.752,0.36,0,6.475
117.306,54.801,0.686,9,6.551
51.22,32.769,0.429,9,6.405
60.448,25.039,0.341,7,6.504
50.35,75.747,0.867,0,7.276
87.058,27.463,0.368,7,6.464
79.592,78.157,0.882,0,7.396
72.375,18.898,0.276,7,6.637
74.506,89.015,0.935,7,8.032
75.261,105.138,0.977,0,9.258
84.988,52.924,0.666,0,6.514
82.932,20.917,0.296,3,6.588
60.94,22.545,0.314,11,6.552
77.243,15.113,0.239,3,6.744
110.157,14.065,0.23,11,6.777
84.112,142.275,0.999,0,13.373
91.958,200.47,1.0,7,23.436
105.986,264.247,1.0,9,39.534
110.729,359.683,1.0,11,73.525
88.061,66.725,0.8,0,6.894
83.077,21.856,0.306,11,6.567
109.612,17.278,0.26,3,6.681
85.532,35.026,0.456,11,6.391
56.299,189.572,1.0,0,21.216
57.022,57.029,0.709,6,6.601
106.855,215.32,1.0,0,26.711
84.412,93.34,0.95,9,8.328
65.504,62.082,0.759,11,6.738
69.79,50.222,0.635,11,6.468
79.332,19.583,0.283,2,6.62
54.271,22.591,0.314,0,6.551
64.646,44.581,0.57,7,6.404
69.231,50.295,0.636,7,6.47
109.98,20.538,0.293,11,6.597
102.803,116.182,0.99,0,10.294
59.097,49.046,0.622,6,6.452
54.565,59.291,0.732,0,6.658
68.659,93.679,0.951,6,8.352
83.771,62.787,0.765,0,6.76
116.836,383.254,1.0,0,83.748
86.425,56.708,0.706,0,6.593
50.32,66.454,0.798,0,6.884
88.243,25.383,0.344,3,6.497
74.426,68.147,0.812,11,6.947
96.948,396.906,1.0,0,90.001
83.965,6.001,0.163,11,7.079
85.558,145.013,0.999,0,13.748
75.357,63.013,0.768,7,6.767
66.564,78.731,0.886,0,7.426
64.267,69.531,0.823,7,7.001
58.927,64.168,0.778,9,6.805
53.754,38.839,0.502,9,6.382
83.649,20.554,0.293,3,6.596
77.369,118.53,0.992,7,10.535
64.588,65.157,0.787,0,6.838
59.077,28.464,0.379,6,6.45
65.032,85.31,0.919,0,7.798
64.247,214.527,1.0,0,26.529
57.332,71.732,0.84,0,7.093
116.599,363.46,1.0,0,75.115
112.305,15.94,0.247,11,6.719
121.039,132.112,0.998,0,12.068
62.128,147.902,0.999,6,14.153
54.565,81.46,0.901,0,7.573
101.29,580.556,1.0,9,197.722
62.408,73.441,0.852,11,7.168
68.615,103.505,0.974,0,9.119
62.315,105.016,0.977,0,9.248
61.734,128.215,0.996,0,11.604
86.951,17.448,0.261,0,6.676
82.105,67.862,0.81,0,6.936
69.413,77.877,0.881,6,7.382
109.645,10.603,0.199,11,6.896
111.213,12.108,0.212,9,6.843
77.947,14.13,0.23,11,6.775
58.319,40.865,0.526,0,6.385
92.789,20.354,0.291,11,6.601
94.599,16.348,0.251,9,6.707
110.85,11.81,0.209,11,6.853
110.656,18.634,0.273,6,6.644
154.05,305.664,1.0,0,52.827
78.775,16.257,0.25,11,6.71
71.674,58.406,0.723,7,6.635
84.047,23.365,0.322,9,6.535
70.13,39.675,0.512,2,6.383
83.64,17.021,0.257,11,6.688
70.358,32.75,0.429,9,6.405
68.29,47.077,0.599,11,6.428
102.43,555.245,1.0,0,180.264
61.644,6.944,0.17,7,7.039
57.574,28.968,0.385,7,6.444
94.015,294.444,1.0,0,49.006
180.0,188.853,1.0,0,21.075
111.032,18.196,0.269,2,6.656
84.017,57.615,0.715,2,6.615
56.021,58.641,0.726,7,6.641
62.468,22.157,0.31,6,6.56
59.431,118.927,0.992,0,10.576
62.368,191.75,1.0,7,21.647
66.712,65.785,0.792,0,6.86
73.018,34.224,0.446,2,6.395
82.849,33.583,0.439,2,6.399
65.954,13.889,0.228,11,6.783
82.033,31.722,0.417,2,6.414
77.651,82.253,0.905,11,7.618
65.415,138.397,0.999,0,12.859
85.904,21.494,0.303,7,6.575
119.03,348.438,1.0,0,68.903
69.727,29.584,0.392,0,6.436
85.22,13.796,0.227,11,6.786
84.309,22.395,0.312,7,6.555
88.189,136.549,0.998,0,12.621
121.822,371.655,1.0,6,78.627
55.547,59.35,0.733,7,6.66
66.605,82.449,0.906,0,7.629
78.952,37.735,0.488,7,6.383
89.002,154.115,1.0,7,15.063
83.205,24.55,0.335,9,6.512
63.509,22.885,0.317,2,6.545
56.234,60.044,0.739,7,6.679
64.478,144.418,0.999,0,13.665
109.988,14.434,0.233,11,6.766
89.84,88.662,0.933,0,8.009
158.242,302.791,1.0,9,51.833
93.372,31.205,0.411,7,6.419
100.935,278.567,1.0,7,43.878
111.213,381.077,1.0,0,82.774
56.936,41.372,0.532,9,6.387
88.758,77.207,0.876,11,7.348
90.485,19.183,0.279,2,6.63
47.823,97.222,0.961,11,8.614
58.936,18.565,0.273,11,6.646
67.53,45.966,0.586,7,6.416
981.818,236.111,1.0,0,31.779
85.828,11.587,0.208,11,6.861
79.607,120.822,0.993,7,10.777
68.79,58.904,0.728,0,6.648
76.28,146.666,0.999,9,13.978
72.338,97.991,0.963,2,8.673
63.343,71.403,0.837,11,7.079
62.831,90.427,0.94,0,8.126
65.06,40.578,0.523,4,6.384
61.335,23.625,0.325,11,6.53
61.97,118.321,0.992,0,10.513
64.095,101.159,0.97,6,8.924
59.76,60.508,0.744,0,6.692
64.962,124.979,0.995,7,11.233
55.261,171.144,1.0,0,17.813
48.122,120.548,0.993,6,10.748
64.622,74.12,0.856,9,7.2
63.176,71.668,0.839,7,7.09
64.52,58.159,0.721,7,6.629
70.088,60.253,0.741,7,6.685
73.904,125.993,0.996,0,11.348
74.623,108.005,0.981,9,9.512
70.045,25.415,0.345,2,6.497
61.56,79.668,0.891,7,7.476
84.731,19.312,0.28,9,6.627
114.937,392.744,1.0,7,88.069
133.746,347.222,1.0,0,68.413
86.631,15.652,0.244,7,6.728
87.52,44.79,0.573,2,6.406
52.898,109.555,0.983,7,9.654
108.18,412.218,1.0,7,97.303
56.967,46.265,0.59,0,6.419
84.274,81.559,0.901,6,7.579
95.322,20.959,0.297,0,6.587
56.861,62.485,0.763,7,6.751
61.911,53.729,0.674,0,6.529
108.991,29.698,0.393,0,6.435
92.209,20.318,0.29,11,6.602
78.374,21.74,0.305,2,6.569
82.067,20.554,0.293,2,6.596
82.373,19.782,0.285,11,6.615
70.897,25.76,0.349,7,6.491
59.595,51.191,0.646,0,6.484
66.523,35.185,0.458,4,6.39
57.351,189.212,1.0,0,21.145
